Path,Physical,Source,Comment,Single-line comment,Block comment,Mixed,Empty block comment,Empty,To Do
C++/aho_corasick.cpp,207,110,63,29,34,0,2,36,0
C++/boyer_moore.cpp,135,84,31,7,24,0,1,21,0
C++/dfa_gap.cpp,142,67,52,28,24,0,0,23,0
C++/input.cpp,124,73,31,1,30,0,3,23,0
C++/input.hpp,15,8,4,1,3,1,0,4,0
C++/kmp.cpp,93,54,23,5,18,0,1,17,0
C++/run.cpp,230,156,48,28,20,3,1,30,0
C++/run.hpp,38,29,4,1,3,1,0,6,0
C++/shift_or.cpp,103,53,31,10,21,0,1,20,0
C/aho_corasick.c,371,206,101,31,70,0,2,66,0
C/boyer_moore.c,139,87,30,5,25,0,1,23,0
C/dfa_gap.c,152,75,53,29,24,0,0,24,0
C/input.c,198,123,45,16,29,0,3,33,0
C/input.h,12,6,4,1,3,1,0,3,0
C/kmp.c,93,53,25,3,22,0,1,16,0
C/run.c,303,209,50,31,19,3,1,48,0
C/run.h,23,15,4,1,3,1,0,5,0
C/shift_or.c,100,52,29,8,21,0,1,20,0
Perl/Input.pm,80,59,3,3,0,1,0,19,0
Perl/Run.pm,208,152,22,22,0,6,0,40,0
Perl/aho_corasick.pl,157,107,17,17,0,1,0,34,0
Perl/boyer_moore.pl,114,88,3,3,0,0,0,23,0
Perl/dfa_gap.pl,96,63,13,13,0,1,0,21,0
Perl/kmp.pl,69,51,4,4,0,0,0,14,0
Perl/regexp.pl,35,24,1,1,0,0,0,10,0
Perl/shift_or.pl,61,45,2,2,0,0,0,14,0
Python/aho_corasick.py,128,76,18,18,0,0,0,34,0
Python/boyer_moore.py,95,63,2,2,0,0,0,30,0
Python/dfa_gap.py,80,45,12,12,0,0,0,23,0
Python/input.py,51,33,3,3,0,0,0,15,0
Python/kmp.py,59,39,2,2,0,0,0,18,0
Python/regexp.py,31,18,2,2,0,0,0,11,0
Python/run.py,161,115,9,9,0,0,0,37,0
Python/shift_or.py,54,34,2,2,0,0,0,18,0
Rust/aho_corasick/src/main.rs,304,189,73,30,43,0,3,45,0
Rust/boyer_moore/src/main.rs,177,116,37,13,24,1,1,26,0
Rust/common/src/input.rs,138,77,44,18,26,0,1,18,0
Rust/common/src/lib.rs,9,2,6,0,6,0,0,1,0
Rust/common/src/run.rs,327,193,88,59,29,0,1,47,0
Rust/dfa_gap/src/main.rs,143,82,40,27,13,0,0,21,0
Rust/kmp/src/main.rs,109,64,30,9,21,0,1,16,0
Rust/shift_or/src/main.rs,107,56,33,12,21,0,1,19,0
